Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2020-02-28,194,,11273.16138100624,90.0,85,,,,0.5989704654535566,2.153380870819092,0.29207757115364075,16270,,,,,,
2020-02-29,44,,1171.8151395320892,,,,,,0.3953661085426862,0.8171003460884094,0.23191897571086884,2055,,,,,,
2020-03-01,99,,4805.760133445263,41.0,41,,,,0.4467384612737542,1.346481442451477,0.2510583996772766,7336,,,,,,
2020-03-02,186,,10853.321269571781,68.0,60,,,,0.6655807488708201,1.9682307243347168,0.2510583996772766,15831,,,,,,
2020-03-03,88,,4740.753420710564,34.0,25,,,,0.4432904276514912,2.867954969406128,0.282440721988678,7008,,,,,,
2020-03-04,100,,4837.119307041168,26.0,26,,,,0.5398819674770554,1.6469266414642334,0.2615191638469696,7164,,,,,,
2020-03-05,152,,9732.932741641998,77.0,67,,,,0.8152588527358359,2.644578695297241,0.31382298469543457,13859,,,,,,
2020-03-06,180,,8398.931656360626,46.0,46,,,,0.71660679269566,3.186462163925171,0.2615409791469574,12431,,,,,,
2020-03-07,224,,10773.156129956245,46.0,46,,,,0.4509761337574531,1.811845302581787,0.2510583996772766,16632,,,,,,
2020-03-08,33,,1327.7571405172348,,,,,,0.5815580812057853,1.9986008405685425,0.2510583996772766,2269,,,,,,
2020-03-09,190,,11489.910431861877,71.0,71,,,,0.638859507662135,3.3968584537506104,0.2510583996772766,16764,,,,,,
2020-03-10,62,,1802.701873600483,,,,,,0.3926798949961259,1.0864909887313843,0.2596731185913086,2986,,,,,,
2020-03-11,201,,10236.624544143677,56.0,49,,,,0.499041767185835,1.9364774227142334,0.23263947665691376,14926,,,,,,
2020-03-12,223,,13083.993272542953,99.0,87,,,,0.5081943497580683,2.008047103881836,0.2510583996772766,19016,,,,,,
2020-03-13,121,,6486.76590180397,24.0,24,,,,0.5860138137728338,3.3909261226654053,0.2719799280166626,9672,,,,,,
2020-03-14,59,,1743.6543545746222,,,,,,0.3420977502807951,0.7334929704666138,0.2510583996772766,2935,,,,,,
2020-03-15,50,,1631.6093479371652,,,,,,0.4543439672207917,1.4081138372421265,0.2510583996772766,2705,,,,,,
2020-03-16,182,,10992.014976799488,76.0,71,,,,0.66550342942166,2.207289218902588,0.2719799280166626,15924,,,,,,
2020-03-17,104,,4894.2085218429565,21.0,21,,,,0.43429464815083596,1.5939983129501343,0.2510583996772766,7504,,,,,,
2020-03-18,58,,4215.8702511787415,42.0,38,,,,0.4885273923837751,2.1670491695404053,0.2615191638469696,5980,,,,,,
2020-03-19,64,,3245.172153234482,22.0,19,,,,0.4424333965430411,1.7811979055404663,0.27720046043395996,4801,,,,,,
2020-03-20,47,,3450.0798375606537,29.0,29,,,,0.47049396375413105,1.5504868030548096,0.2510583996772766,4886,,,,,,
2020-03-21,150,,9755.320500910282,76.0,76,,,,0.47653407520056634,2.7098453044891357,0.2601461708545685,13924,,,,,,
